registry,ntiling,d,total_energy,total_energy_err,autocorrelation,acc,walltime,timestep,nblocks,energy,energy_err,stack
0.66667,3,3.0,-5936.275164,0.020962,1.0,0.990621,6004.755832,0.02,16.0,-659.5861293333332,0.0023291111111111,AA
0.66667,3,3.2,-5936.888854,0.019613,1.0,0.990634,6058.563684,0.02,16.0,-659.6543171111111,0.0021792222222222,AA
0.66667,3,3.5,-5937.217105,0.022674,2.5,0.990633,6189.812461,0.02,15.0,-659.6907894444444,0.0025193333333333,AA
0.66667,3,4.0,-5937.290951,0.021172,1.3,0.990637,6091.3911,0.02,15.0,-659.6989945555556,0.0023524444444444,AA
0.66667,3,4.5,-5937.224398,0.011864,1.0,0.990642,6041.424403,0.02,15.0,-659.6915997777778,0.0013182222222222,AA
0.66667,3,5.5,-5937.196162,0.015011,1.0,0.990639,6029.810539,0.02,16.0,-659.6884624444444,0.0016678888888888,AA
0.66667,3,6.5,-5937.170749,0.016028,1.0,0.990632,6118.950467,0.02,15.0,-659.6856387777777,0.0017808888888888,AA
0.66667,4,3.0,-10551.227014,0.039535,3.1,0.990518,6479.612321,0.02,40.0,-659.451688375,0.0024709375,AA
0.66667,4,3.2,-10552.272673,0.028977,3.1,0.990523,6706.067563,0.02,38.0,-659.5170420625,0.0018110625,AA
0.66667,4,3.5,-10552.723416,0.016636,1.0,0.990523,6501.560883,0.02,38.0,-659.5452135,0.00103975,AA
0.66667,4,4.0,-10552.701786,0.020725,1.1,0.990517,6415.390881,0.02,37.0,-659.543861625,0.0012953125,AA
0.66667,4,4.5,-10552.446542,0.017235,1.0,0.990524,6603.747574,0.02,39.0,-659.527908875,0.0010771875,AA
0.66667,4,5.5,-10552.256634,0.036568,3.3,0.990526,6428.724931,0.02,39.0,-659.516039625,0.0022855,AA
0.66667,4,6.5,-10552.193291,0.026069,1.6,0.990526,6545.257587,0.02,39.0,-659.5120806875,0.0016293125,AA
0.66667,5,3.0,-16484.926987,0.046048,1.6,0.990459,6376.963975,0.02,24.0,-659.39707948,0.00184192,AA
0.66667,5,3.2,-16486.648455,0.033594,1.0,0.99046,6340.649271,0.02,24.0,-659.4659382,0.00134376,AA
0.66667,5,3.5,-16487.241234,0.028168,1.0,0.990466,6080.950831,0.02,24.0,-659.48964936,0.00112672,AA
0.66667,5,4.0,-16486.939671,0.028327,1.7,0.990465,6306.994065,0.02,24.0,-659.47758684,0.00113308,AA
0.66667,5,4.5,-16486.659908,0.040888,1.6,0.990467,6342.245621,0.02,24.0,-659.4663963200001,0.00163552,AA
0.66667,5,5.5,-16486.21481,0.041401,1.0,0.990459,6250.000438,0.02,25.0,-659.4485924,0.00165604,AA
0.66667,5,6.5,-16486.150377,0.027246,1.0,0.990463,6257.33973,0.02,25.0,-659.44601508,0.00108984,AA
0.0,3,3.0,-5936.425586,0.026577,1.6,0.990626,6137.324929,0.02,15.0,-659.602842888889,0.002953,AB
0.0,3,3.2,-5936.968234,0.017142,1.0,0.990634,6124.20043,0.02,15.0,-659.6631371111112,0.0019046666666666,AB
0.0,3,3.5,-5937.29399,0.014727,1.6,0.990632,20429.322536,0.02,386.0,-659.6993322222222,0.0016363333333333,AB
0.0,3,4.0,-5937.29129,0.015166,1.0,0.99064,6651.949617,0.02,38.0,-659.6990322222223,0.0016851111111111,AB
0.0,3,4.5,-5937.239656,0.034831,2.5,0.990646,6143.622042,0.02,15.0,-659.6932951111111,0.0038701111111111,AB
0.0,3,5.5,-5937.206333,0.012584,1.0,0.990646,6076.67154,0.02,15.0,-659.6895925555556,0.0013982222222222,AB
0.0,3,6.5,-5937.183424,0.023619,1.5,0.990648,5985.34061,0.02,16.0,-659.687047111111,0.0026243333333333,AB
0.0,4,3.0,-10551.458902,0.016319,1.0,0.990522,6513.096436,0.02,41.0,-659.466181375,0.0010199375,AB
0.0,4,3.2,-10552.385149,0.020782,1.4,0.990526,6533.38219,0.02,38.0,-659.5240718125,0.001298875,AB
0.0,4,3.5,-10552.851947,0.02456,1.4,0.990522,19712.094862,0.02,277.0,-659.5532466875,0.001535,AB
0.0,4,4.0,-10552.673969,0.022306,1.3,0.990526,6581.500546,0.02,39.0,-659.5421230625,0.001394125,AB
0.0,4,4.5,-10552.470782,0.033281,2.1,0.990523,6434.471917,0.02,39.0,-659.529423875,0.0020800625,AB
0.0,4,5.5,-10552.351669,0.021811,1.4,0.990524,6437.492645,0.02,39.0,-659.5219793125,0.0013631875,AB
0.0,4,6.5,-10552.239377,0.025885,2.0,0.990531,6542.810458,0.02,40.0,-659.5149610625,0.0016178125,AB
0.0,5,3.0,-16485.26488,0.047062,1.4,0.990463,6145.765527,0.02,24.0,-659.4105952,0.00188248,AB
0.0,5,3.2,-16486.573883,0.047181,1.9,0.99047,6366.292218,0.02,24.0,-659.46295532,0.00188724,AB
0.0,5,3.5,-16487.366206,0.034776,1.5,0.990447,20108.191562,0.02,188.0,-659.49464824,0.00139104,AB
